Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Paris,Rome,3,5,13:05,3/3/2025,15:00,19:25,8/3/2025,21:35,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,736,28/02/2025,Momondo,115,130
Paris,Rome,3,5,13:05,3/3/2025,15:00,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,easyJet,easyJet,nonstop,,,nonstop,,,0,0,740,28/02/2025,Momondo,115,130
Paris,Rome,3,5,6:40,3/3/2025,8:40,7:00,8/3/2025,9:15,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,733,28/02/2025,Momondo,120,135
Paris,Rome,3,5,9:40,3/3/2025,11:35,12:05,8/3/2025,14:20,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,747,28/02/2025,Momondo,115,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,130
Paris,Rome,3,5,6:55,3/3/2025,9:00,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,130
Paris,Rome,3,5,20:40,3/3/2025,22:45,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,736,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:40,3/3/2025,8:40,18:45,8/3/2025,20:55,ORY,FCO,FCO,ORY,Vueling,Vueling,nonstop,,,nonstop,,,0,0,751,28/02/2025,Momondo,120,130
Paris,Rome,3,5,13:05,3/3/2025,15:00,12:05,8/3/2025,14:20,ORY,FCO,FCO,ORY,easyJet,Vueling,nonstop,,,nonstop,,,0,0,762,28/02/2025,Momondo,115,135
Paris,Rome,3,5,17:35,3/3/2025,19:40,10:30,8/3/2025,12:45,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,766,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:00,3/3/2025,16:55,19:25,8/3/2025,21:35,ORY,FCO,FCO,ORY,Vueling,easyJet,nonstop,,,nonstop,,,0,0,766,28/02/2025,Momondo,115,130
Paris,Rome,3,5,15:00,3/3/2025,16:55,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,Vueling,easyJet,nonstop,,,nonstop,,,0,0,770,28/02/2025,Momondo,115,130
Paris,Rome,3,5,9:40,3/3/2025,11:35,10:05,8/3/2025,12:15,ORY,FCO,FCO,ORY,Vueling,easyJet,nonstop,,,nonstop,,,0,0,792,28/02/2025,Momondo,115,130
Paris,Rome,3,5,6:00,3/3/2025,8:05,10:30,8/3/2025,12:45,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,792,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:20,3/3/2025,17:25,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,17:35,3/3/2025,19:40,15:10,8/3/2025,17:20,ORY,FCO,FCO,CDG,Transavia France,ITA Airways,nonstop,,,nonstop,,,0,0,840,28/02/2025,Momondo,125,130
Paris,Rome,3,5,17:35,3/3/2025,19:40,8:35,8/3/2025,10:50,ORY,FCO,FCO,CDG,Transavia France,ITA Airways,nonstop,,,nonstop,,,0,0,840,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:55,3/3/2025,9:00,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,20:40,3/3/2025,22:45,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,829,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:00,3/3/2025,8:05,15:10,8/3/2025,17:20,ORY,FCO,FCO,CDG,Transavia France,ITA Airways,nonstop,,,nonstop,,,0,0,862,28/02/2025,Momondo,125,130
Paris,Rome,3,5,6:55,3/3/2025,9:00,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,20:40,3/3/2025,22:45,16:50,8/3/2025,19:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,858,28/02/2025,Momondo,125,130
Paris,Rome,3,5,15:20,3/3/2025,17:25,6:00,8/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,125,135
Paris,Rome,3,5,13:45,3/3/2025,15:50,12:50,8/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,899,28/02/2025,Momondo,125,130
Paris,Rome,3,5,13:45,3/3/2025,15:50,18:45,8/3/2025,21:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,899,28/02/2025,Momondo,125,135
Paris,Rome,3,5,15:20,3/3/2025,17:25,10:05,8/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,921,28/02/2025,Momondo,125,135
Paris,Rome,3,5,6:00,3/3/2025,8:05,8:55,8/3/2025,11:10,ORY,FCO,FCO,BVA,Transavia France,Ryanair,nonstop,,,nonstop,,,0,0,477,28/02/2025,Momondo,125,135
